Ticker,Type
MSFT,Stock
AAPL,Stock
NVDA,Stock
AMZN,Stock
GOOG,Stock
META,Stock
AVGO,Stock
TSLA,Stock
WMT,Stock
LLY,Stock
JPM,Stock
V,Stock
UNH,Stock
MA,Stock
XOM,Stock
PG,Stock
JNJ,Stock
CVX,Stock
HD,Stock
PFE,Stock
BAC,Stock
PEP,Stock
CSCO,Stock
ORCL,Stock
INTC,Stock
ADBE,Stock
CRM,Stock
MCD,Stock
VZ,Stock
T,Stock
DIS,Stock
NFLX,Stock
CMCSA,Stock
IBM,Stock
QCOM,Stock
MDT,Stock
ABBV,Stock
HON,Stock
BA,Stock
SBUX,Stock
CAT,Stock
GS,Stock
AXP,Stock
PYPL,Stock
INTU,Stock
MRNA,Stock
ZM,Stock
SHOP,Stock
VOO,ETF
SPY,ETF
IVV,ETF
VTI,ETF
QQQ,ETF
VUG,ETF
VEA,ETF
VTV,ETF
IEFA,ETF
BND,ETF
AGG,ETF
IWF,ETF
VWO,ETF
IWM,ETF
VB,ETF
VYM,ETF
EEM,ETF
XLK,ETF
XLF,ETF
XLV,ETF
XLE,ETF
XLY,ETF
XLI,ETF
XLC,ETF
XLU,ETF
XLB,ETF
IWR,ETF
IWN,ETF
MTUM,ETF
QUAL,ETF
USMV,ETF
VBR,ETF
VO,ETF
VOT,ETF
SCHD,ETF
IWD,ETF
IWB,ETF
RSP,ETF
ARKK,ETF
ARKW,ETF
ARKG,ETF
IHI,ETF
IBB,ETF
XBI,ETF
VGT,ETF
SMH,ETF
LQD,ETF
SHY,ETF
